Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-06-15 19:25:59 UTC,,,1.850027618,WAL,0.01934118,SUI,,,,Sui Tx,4R2PcaibvL4anq4ynTMpNAEg8gpFSRLGShJmUyFqyT3j
2025-06-15 19:26:36 UTC,0.548964285,SPRING_SUI,0.542637225,SUI,0.013987828,SUI,,,,Sui Tx,FXms4cdQJATro5XKCZQ7FSFaViJGHbjfgQpxJSdUqcjz
2025-06-15 19:26:48 UTC,1.850027618,WAL,0.248405236,SUI,0.03486658,SUI,,,,Sui Tx,33V5N6VF3RiQh9ck1ZK62T76Jza6rjj8no61JxLZNpLd
2025-06-15 19:27:02 UTC,0.003513741,DEEP,0.162059493,SUI,0.00030276,SUI,,,,Sui Tx,B399Po9LwaTnVnhQaZcwodFLrzGHgit1Gu9GhNQxzjA5
2025-06-15 19:31:14 UTC,,,2.127638317,DEEP,0.013496412,SUI,,,,Sui Tx,GVkGrD4x3TLJPGtiNnXfnjVnsoV5AJYCQsiChkZxHz3r
2025-06-15 19:34:16 UTC,0.009454294,SUI,153.009646,USDC,0.009454292,SUI,,,,Sui Tx,3wKnkujZJvTMfWYT3oR78ziyf3N7uvK3jeBe5fqnehUu
2025-06-15 19:34:39 UTC,147.654587,USDC,,,0.010278976,SUI,,,,Sui Tx,EpuVoEX2cDTnjTzNg7gUaM3LPA5APWaF1bZ32A4hQfum
2025-06-15 19:37:20 UTC,5.35506,USDC,1.729507723,SUI,0.04821094,SUI,,,,Sui Tx,3QkfXuFzBu8Nt4fitXMundhukwKkEtDi44cFDRGvdKtE
2025-06-15 19:57:57 UTC,0.045967115,SUI,0.744725903,DEEP,0.045967112,SUI,,,,Sui Tx,6nuPL5dKVJRUWs7LbEvWSFkKxR5i8PPusAGcLkV1A11A
2025-06-15 19:58:37 UTC,104.55349,USDC,,,0.013563696,SUI,,,,Sui Tx,A3DP2dEdjjFSbRoGHZQtFX6WEJWakpUk25cTFfky5qBZ
2025-06-15 20:00:44 UTC,,,0.001592756,SUI,,,,,,Sui Tx,DZio2C2Ye3MjerXgCJ4sCj87NA7SL4Yw1yQNA86fpW6q
2025-06-15 20:00:57 UTC,131.643583,USDC,0.006136948,SUI,,,,,,Sui Tx,gE4jMbqaCEk7tfK7SHToyDu9gx8t7Hz5LPBKnetvMf3
2025-06-15 20:01:33 UTC,25.748733,USDC,8.529328335,SUI,0.006488164,SUI,,,,Sui Tx,6Lj9Ss7TjSJcimaEGL9EhogxkuMGkF73PkYpoPJKw4BL
2025-06-16 08:35:43 UTC,,,2206.168686746,WAL,0.01348372,SUI,,,,Sui Tx,GFuyQdKT2FaSZaNDXqXg4pReb97QoR616asVn13ZLcit
2025-06-16 08:35:59 UTC,,,1.013533643,WAL,0.019316252,SUI,,,,Sui Tx,3CQh3mK1QcB3MQivdmNAcWesb4NVJJYsxnfkUCREQd3Z
2025-06-16 08:36:40 UTC,1099.999999999,WAL,170.641599313,SUI,0.061865016,SUI,,,,Sui Tx,DC9zUHrFQ3dFQTo3TRYTSiqZc7YrUysrEqEpHKC2FCwB
2025-06-16 08:39:16 UTC,178.03470399,SUI,,,,,,,,Sui Tx,HKFNQj8V46wDKivHft1KpoxGeT4infendtAV4wMtwh9B
2025-06-16 08:45:07 UTC,161.0,USDC,51.970898545,SUI,0.002483492,SUI,,,,Sui Tx,DGaYfJ7r3taT8QURFXmwXev5Swbtugtx88M3fifU7mKB
2025-06-16 08:46:55 UTC,52.026016398,SUI,160.731641,USDC,0.026016396,SUI,,,,Sui Tx,GgiJ1mT3xXicuBfrJqfr7oW3pwNp7vXDC7Nij8Etqnqp
2025-06-16 08:47:24 UTC,103.0,USDC,33.274458729,SUI,0.00184504,SUI,,,,Sui Tx,DzSHK2r1LWUSyaETQgzwGuXFVBxfrvjmLkQBWTbWDWYH
2025-06-16 08:48:20 UTC,220.688074,USDC,71.301319065,SUI,,,,,,Sui Tx,8c45k6n23MFmuTFswdZqjf3wN2TuTSPs6CnZktfdL8FM
2025-06-16 08:49:09 UTC,33.034298518,SUI,102.044451,USDC,0.034298516,SUI,,,,Sui Tx,AXuLk9EiSm8Z7E3JBheqtxs8GKpbeLUxgefAPc5KpcDL
2025-06-16 08:49:27 UTC,69.777452444,SUI,,,0.008055572,SUI,,,,Sui Tx,DzenC22NkbJQwdYZfhew6UME2Po2tp9APR16rtygSMbd
2025-06-16 15:44:35 UTC,,,2.286348,USDC,0.005985052,SUI,,,,Sui Tx,HPsUqM9YG5z9qeP94sDX7Vv182hvN93i5fudfBWgWKiB
2025-06-16 15:45:55 UTC,,,0.182165991,SUI,0.007978152,SUI,,,,Sui Tx,B4K9ceNNo8fLXk5aHc3YeAk8XjLMoUBH8YnHpt7eR6F2
2025-06-16 15:48:10 UTC,0.018713254,DEEP,0.847265001,SUI,0.022986732,SUI,,,,Sui Tx,FtWDnM7ZNJD3VbJiJadVYcmxpxo5sXXfW7cNFfNMuAqW
2025-06-16 15:49:17 UTC,2.286349,USDC,0.73639801,SUI,,,,,,Sui Tx,4MAcEJDGwkELH8SwAUq3Fk5EawqjWxCUxjoKq6rgmyoF
2025-06-16 15:49:43 UTC,,,0.009878276,SUI,,,,,,Sui Tx,HysyLgeRUzoh9Aek6AAEiCBc6RCDq1hWGpZ7D1YhmmAm
2025-06-16 15:50:53 UTC,0.020964062,SUI,1.645566909,DEEP,0.02096406,SUI,,,,Sui Tx,CqBDj6XPefMyPLdtZKSd8AuF1GzNkVNifJqVCCaZf387
2025-06-16 15:51:28 UTC,238.875745,USDC,,,0.013563696,SUI,,,,Sui Tx,7Q1Q9g9wezrdvfGFTKSyV2g53CSysYRrxQoo8g83hmPe
2025-06-16 15:53:23 UTC,1.75054166,WAL,0.271587243,SUI,0.000103716,SUI,,,,Sui Tx,3V1qBtxtN6Ukw8ugQ8cZbfzAYAM3VptFNi1MDPqQckM3
2025-06-16 15:53:39 UTC,0.291055253,SPRING_SUI,0.301398683,SUI,,,,,,Sui Tx,6Ym4eHTP88cVt7dBdpGhAeBQmnDMoEJ52U8zMDCcxJjC
2025-06-16 15:55:50 UTC,8.12052976,SUI,,,0.00075976,SUI,,,,Sui Tx,7zG9bgdcetNndzT3ZEcQ6Rh78iFECPavrAq7BtntLZTP
2025-06-16 19:15:47 UTC,,,0.207187169,SPRING_SUI,0.01582566,SUI,,,,Sui Tx,GYTg8Cod2Rf9DdFcr3jaSBnm7Udk521zMQSNMp6AXGnU
2025-06-16 19:16:44 UTC,0.207187169,SPRING_SUI,0.194844842,SUI,0.015325808,SUI,,,,Sui Tx,4KUEwETw5PzhiNwXPs7hsbiZHy1MN9TPuKnXaaYciUHB
2025-06-17 10:16:41 UTC,,,0.005849972,SUI,,,,,,Sui Tx,omLARLNwHeM7SaqG4VthvxPvcji2jSauXBBqMnwgU81
2025-06-17 10:19:22 UTC,1.889999999,DEEP,88.862235805,SUI,0.007368316,SUI,,,,Sui Tx,EPtdqPfApwWnGbBWk7Mojy5kXtqLksqHp1L2JtuHGhwk
2025-06-17 10:20:05 UTC,80.175955413,SUI,,,0.005755736,SUI,,,,Sui Tx,3KBV9jjV3BDafQUyUBpKojpndtFcG18dS7JN8ehjjCMn
2025-06-17 10:20:15 UTC,,,0.127297561,SUI,0.007000032,SUI,,,,Sui Tx,DPZ9WNCeQ5L8XuK9kF5TSS2mJDYDba6qzzq5eAY4B4Lh
